건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
부영그린타운3,"목동동로 411, (목동)",24층/7층,2024,8190.0,45.0,45.0
현대월드타워,"목동서로 77, (목동)",24층/6층,2024,19228.3,105.65,105.65
㈜SBS,"목동서로 161, (목동)",22층/4층,2024,12285.0,67.5,67.5
삼성쉐르빌1,"목동동로 189, (신정동)",39층/5층,2024,46100.6,253.3,253.3
현대41타워,"목동동로 293, (목동)",40층/7층,2024,6424.6,35.3,35.3
하이페리온2 오피스텔 상가,"오목로 300, (목동)",41층/4층,2024,4550.0,25.0,25.0
하이페리온2 아파트,"오목로 300, (목동)",41층/4층,2024,4368.0,24.0,24.0
서교동 복합시설 신축공사,서교동 354-22,/,2024,1652.6,9.08,9.08
근린생활시설(고광노),와우산로 67(서교동 407-1),6/3,2024,5.5,0.03,0.03
푸르지오 더 센트럴,아현동 275-2,18/6,2024,1727.2,9.49,9.49
마포더클래시,신촌로28길 50,/,2024,1381.4,7.59,7.59
공덕자이아파트,아현동 799,/,2024,2968.4,16.31,16.31
(주)반도건설(신촌2에피소드 신축공사현장),노고산동 49-29,/,2024,240.2,1.32,1.32
주식회사타디그레이드홀딩스(LC타워),동교동 167-13,10/7,2024,1962.0,10.78,10.78
신세계건설(빌리브디에이블 공사현장),노고산동 107-46,/,2024,400.4,2.2,2.2
서울시 데이터센터,매봉산로 31,21/7,2024,6901.4,37.92,37.92
9BRICK HOTEL(호텔),홍익로5길 32,16/2,2024,0.0,,0.0
쎄덱(파인빌),와우산로17길 18,5/3,2024,0.0,0.0,0.0
사보이시티디엠씨,월드컵북로54길 17,16/4,2024,294.8,1.62,1.62
에스제이에이뮤직,와우산로25길 6,5/4,2024,0.0,0.0,0.0
파크팰리스2(오피스텔),마포대로 143,21/4,2024,27.3,0.15,0.15
한화 꿈에그린아파트,마포대로10길 22,/,2024,0.0,,0.0
누디트 홍대,서교동 460-25,7/3,2024,4253.3,23.37,23.37
소금나루도서관,숭문길 72,3/3,2024,18451.2,101.38,101.38
엘씨타워(LC TOWER),양화로 186,10/7,2024,0.0,,0.0
마포프레스티지자이아파트,염리동 507,27/5,2024,19233.8,105.68,105.68
이랜드PEER,서강로 75-16,16/5,2024,7223.6,39.69,39.69
현대썬앤빌,장한로 91(장안동 373-3),20층/지하4층,2024,0.0,0.0,0.0
그레이스앤존,장한로23길 11-9(장안동 372-7),13층/지하1층,2024,182.0,1.0,1.0
홈플러스 동대문점,천호대로 133(용두동 33-1),6층/지하3층,2024,3057.6,16.8,16.8
동대문구청장,천호대로 145(용두동 39-9),9층/지하2층,2024,7079.8,38.9,38.9
해링턴플레이스,고산자로34길 70(용두동 11-1),40층/지하6층,2024,1073.8,5.9,5.9
롯데캐슬스카이엘65 아파트 입주자대표회의,답십리로 27(전농동 620-47),65층/지하7층,2024,16216.2,89.1,89.1
롯데캐슬피렌체 상가,정릉천동로 58(용두동 790),14층/지하3층,2024,1237.6,6.8,6.8
