"건축물명","건축물 위치","층수(지상_지하)","연면적","조사년도","총발생량(톤)","일평균발생량(톤/일)","일평균이용현황(톤/일)_하천방류","일평균이용현황(톤/일)_도로청소","일평균이용현황(톤/일)_공원용수","일평균이용현황(톤/일)_화장실세척","일평균이용현황(톤/일)_건물용수","미사용_하수도방류(톤/일)","일평균이용현황(톤/일)_기타건물용수"
"한국광고문화회관","올림픽로35길 137","20/5","39054.22","2024","9302.00","51.11","","","","","0.00","51.11",""
"링커병원","백제고분로 436","7/4","4986.68","2024","9598.00","52.74","","","","","0.00","52.74",""
"대우유토피아오피스텔","올림픽로 336","21/5","17187.54","2024","2824.00","15.52","","","","","0.00","15.52",""
"거여2차쌍용아파트","오금로 512","15/3","61164.76","2024","7767.00","42.68","","","","","0.00","42.68",""
"아이티벤쳐타워","중대로 135","18/6","75025.87","2024","27016.00","148.44","","","","","0.00","148.44",""
"송파책박물관","송파대로 345(송파책박물관)","2/1","5961.46","2024","9570.00","52.58","","","","","0.00","52.58",""
"헬리오시티상가","송파대로 345(헬리오시티 상가)","5/3","","2024","47231.00","259.51","","","","","0.00","259.51",""
"파라다이스빌잠실","올림픽로 366(방이동 40)","15/4","9504","2024","1154.00","6.34","","","","","0.00","6.34",""
"서울아산병원","올림픽로43길 88(풍납동 388-1)","18/4","522531","2024","118725.00","652.34","","","","","402.32","250.02",""
"여의도순복음교회","마천로 17(방이동 209-1)","10/4","10932","2024","7774.00","42.71","","","","","0.00","42.71",""
"한미타워","위례성대로 14(방이동 45 ,한미타워 )","20/5","18928","2024","1197.00","6.58","","","","","0.00","6.58",""
"BK타워","법원로11길 28 (문정동 640-10)","13/5","10580","2024","1210.00","6.65","","","","","0.00","6.65",""
"힐스테이트 에코 송파","정의로7길 13 (문정동 639-5)","18/4","46647.954","2024","2305.00","12.66","","","","","0.00","12.66",""
"문정오벨리스크","송파대로 145 (문정동 652-2)","16/7","34694","2024","742.00","4.08","","","","","0.00","4.08",""
"힐스테이트 에코 문정","법원로4길 10(문정동 652-4)","15/6","41747","2024","193.00","1.06","","","","","0.00","1.06",""
"씨제이나인파크 B동","석촌동 24-14, 씨제이나인파크 B동","22/5","9982","2024","139.00","0.76","","","","","0.00","0.76",""
"씨제이나인파크 A동","석촌동 24-11, 씨제이나인파크 A동","22/5","11060","2024","0.00","0.00","","","","","0.00","0.00",""
"잠실헤리츠상가 ","방이동 47 잠실헤리츠상가 ","16/4","15003","2024","1432.00","7.87","","","","","0.00","7.87",""
